total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,transfers_in,transfers_out,name,element,team,position,value,selected,was_home,xP,round,GW
3.0,0.0,0.0,72.88,0.25,1.38,0.0,0.0,0.0,0.0,0.12,0.0,0.25,0.0,15.2,5.06,6.25,2.67,0.75,0.5,6.5,2.0,7.0,20271.12,19476.88,Chris Richards,0,Crystal Palace,DEF,44,2.2,0.5,0.0,37,37
4.12,0.5,0.12,43.88,0.25,0.25,0.0,0.0,0.0,0.0,0.12,0.0,0.62,0.0,20.3,5.31,22.12,4.78,0.38,0.12,0.62,0.75,1.5,83728.75,49086.25,Viktor Gyökeres,0,Arsenal,FWD,91,16.4,0.5,0.0,37,37
5.25,0.12,0.25,84.38,0.38,0.88,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,25.58,19.34,11.88,5.69,0.88,2.12,3.88,3.88,6.0,36597.5,12780.0,Neco Williams,0,Nott'm Forest,DEF,48,4.2,0.5,0.0,37,37
3.12,0.12,0.12,88.12,0.12,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,17.2,23.0,5.56,1.0,1.12,1.25,3.5,5.88,7772.12,8396.25,Jaidon Anthony,0,Burnley,MID,50,2.4,0.5,0.0,37,37
2.5,0.0,0.0,83.25,0.12,1.25,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,20.8,1.2,7.88,2.99,0.88,1.88,6.12,2.12,8.0,81912.75,71428.38,Malick Thiaw,0,Newcastle,DEF,49,4.7,0.5,0.0,37,37
4.12,0.38,0.12,68.25,0.5,0.5,0.0,0.0,0.0,0.0,0.12,0.0,0.5,0.0,21.42,9.31,39.62,7.04,0.88,0.75,1.75,1.75,4.25,156027.88,68387.25,Danny Welbeck,0,Brighton,FWD,63,8.4,0.5,0.0,37,37
15.75,0.62,0.38,274.0,0.62,4.62,0.0,0.0,0.0,0.0,1.0,0.0,2.12,0.0,79.75,18.48,36.88,13.54,2.88,13.75,12.5,11.5,37.75,49738.88,46972.12,João Maria J.Palhinha,0,Spurs,MID,55,0.9,0.5,0.0,37,37
2.5,0.0,0.25,62.12,0.25,0.38,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,10.7,14.41,6.62,3.17,0.88,0.62,1.5,3.12,5.25,21501.88,16969.75,Brenden Aaronson,0,Leeds,MID,54,0.8,0.5,0.0,37,37
3.12,0.0,0.0,78.0,0.25,1.38,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,14.65,2.4,9.0,2.6,1.0,0.88,6.5,3.5,7.38,20707.25,34470.38,Omar Alderete,0,Sunderland,DEF,41,4.9,0.5,0.0,37,37
1.62,0.0,0.12,53.38,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,14.43,9.5,3.12,0.62,0.5,0.25,1.38,2.12,13035.5,19928.25,Pedro Lomba Neto,0,Chelsea,MID,70,3.9,0.5,0.0,37,37
